0 OPEN 
4828 NODE 254a640493b9cfc32a78cb7d209f98af_58c1911eea90f13659ace26e582853fe
4857 RULE eda72887d51466ca12ef9fb370a5f983_254a640493b9cfc32a78cb7d209f98af_58c1911eea90f13659ace26e582853fe_b8bac65f76321a66a178049a46bff561_58c1911eea90f13659ace26e582853fe
4859 NODE b8bac65f76321a66a178049a46bff561_58c1911eea90f13659ace26e582853fe
4939 RULE 1b3ac4a3e11306e0d82035f93c09b566_b8bac65f76321a66a178049a46bff561_58c1911eea90f13659ace26e582853fe_c73d3f08492b82cdd2f45697b3409049_58c1911eea90f13659ace26e582853fe
4941 NODE c73d3f08492b82cdd2f45697b3409049_58c1911eea90f13659ace26e582853fe
4969 RULE 810e9f9121da2b5da54a7b43a369b33_c73d3f08492b82cdd2f45697b3409049_58c1911eea90f13659ace26e582853fe_51176b8b055177dc8b09db6e6f9e17fe_58c1911eea90f13659ace26e582853fe
4970 NODE 51176b8b055177dc8b09db6e6f9e17fe_58c1911eea90f13659ace26e582853fe
4998 RULE dbdc342f3d4f7725f91a0be890ef88eb_51176b8b055177dc8b09db6e6f9e17fe_58c1911eea90f13659ace26e582853fe_5d579473af40d9d17c6e58b0ee093048_58c1911eea90f13659ace26e582853fe
5000 NODE 5d579473af40d9d17c6e58b0ee093048_58c1911eea90f13659ace26e582853fe
5028 RULE 70cc981e905ae18e1c6074578475b6a5_5d579473af40d9d17c6e58b0ee093048_58c1911eea90f13659ace26e582853fe_8dc550e3dfcc6527d2883f8ce6603e2b_58c1911eea90f13659ace26e582853fe
5032 NODE 8dc550e3dfcc6527d2883f8ce6603e2b_58c1911eea90f13659ace26e582853fe
5059 RULE 433cccb048ba21c7067c9a82da6e3286_8dc550e3dfcc6527d2883f8ce6603e2b_58c1911eea90f13659ace26e582853fe_57cb25c195b8b874e1b17fbc3ddd5a0f_58c1911eea90f13659ace26e582853fe
5061 NODE 57cb25c195b8b874e1b17fbc3ddd5a0f_58c1911eea90f13659ace26e582853fe
5090 RULE a53a12e87c6fc763bb9ed8bd1188ff98_57cb25c195b8b874e1b17fbc3ddd5a0f_58c1911eea90f13659ace26e582853fe_6c3d8e26cb6def2a044bf0cff79a437f_58c1911eea90f13659ace26e582853fe
5091 NODE 6c3d8e26cb6def2a044bf0cff79a437f_58c1911eea90f13659ace26e582853fe
5120 RULE d820eb40bb79466f33bf732077f800f2_6c3d8e26cb6def2a044bf0cff79a437f_58c1911eea90f13659ace26e582853fe_ea3d4c70d82616c20660621195ecf0b2_58c1911eea90f13659ace26e582853fe
5122 NODE ea3d4c70d82616c20660621195ecf0b2_58c1911eea90f13659ace26e582853fe
5151 RULE d0ab7024fc8aeef39a9a6d87bc3006c1_ea3d4c70d82616c20660621195ecf0b2_58c1911eea90f13659ace26e582853fe_b8a0f3a18a37fedfe1734ad6733bd7d0_58c1911eea90f13659ace26e582853fe
5152 NODE b8a0f3a18a37fedfe1734ad6733bd7d0_58c1911eea90f13659ace26e582853fe
5182 RULE cea77a2f7339b0ebc29955a3edd3ade3_b8a0f3a18a37fedfe1734ad6733bd7d0_58c1911eea90f13659ace26e582853fe_5440f52f334d8d193ce9d6e28dc1300d_58c1911eea90f13659ace26e582853fe
5183 NODE 5440f52f334d8d193ce9d6e28dc1300d_58c1911eea90f13659ace26e582853fe
5233 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_5440f52f334d8d193ce9d6e28dc1300d_58c1911eea90f13659ace26e582853fe_88b540cf9b8dbace45c98c84a281cd04_58c1911eea90f13659ace26e582853fe
5235 NODE 88b540cf9b8dbace45c98c84a281cd04_58c1911eea90f13659ace26e582853fe
5267 RULE 3e05db6a1801cc24fea0a9639b97a07_88b540cf9b8dbace45c98c84a281cd04_58c1911eea90f13659ace26e582853fe_8b147c1cc332b9489d1b233f75905272_58c1911eea90f13659ace26e582853fe
5269 NODE 8b147c1cc332b9489d1b233f75905272_58c1911eea90f13659ace26e582853fe
